sku_id,product_id,shade_name,list_price,sale_price,size,oz_value,g_value,ml_value,fl_oz_value,badge,in_stock,image_url,price_per_oz,price_per_g
2742971,P469825,Sweetie,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2742971-main-zoom.jpg?pb=clean-planet-aware,,
2564722,P469825,Chilly,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2564722-main-zoom.jpg?pb=clean-planet-aware,,
2437804,P469825,Dreamy,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2437804-main-zoom.jpg?pb=clean-planet-aware,,
2564730,P469825,Spicy,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2564730-main-zoom.jpg?pb=clean-planet-aware,,
2437796,P469825,Poppy,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2437796-main-zoom.jpg?pb=clean-planet-aware,,
2742963,P469825,Cutie,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2742963-main-zoom.jpg?pb=clean-planet-aware,,
2742989,P469825,Baby,26.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2742989-main-zoom.jpg?pb=clean-planet-aware,,
2938538,P469825,Baby,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938538-main-zoom.jpg?pb=clean-planet-aware,,
2938223,P469825,Sweetie,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938223-main-zoom.jpg?pb=clean-planet-aware,,
2938744,P469825,Chilly,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938744-main-zoom.jpg?pb=clean-planet-aware,,
2938405,P469825,Lady,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938405-main-zoom.jpg?pb=clean-planet-aware,,
2938538,P520666,Baby,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938538-main-zoom.jpg?pb=clean-planet-aware,,
2938223,P520666,Sweetie,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938223-main-zoom.jpg?pb=clean-planet-aware,,
2938405,P520666,Lady,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938405-main-zoom.jpg?pb=clean-planet-aware,,
2938744,P520666,Chilly,17.0,,,,,,,Clean plus Planet Aware,False,https://www.sephora.com/productimages/sku/s2938744-main-zoom.jpg?pb=clean-planet-aware,,
2926020,P518438,She Goes To The Gym,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2926020-main-zoom.jpg,,
2906113,P518438,She's That Girl,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2906113-main-zoom.jpg,,
2925998,P518438,She's Seductive,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2925998-main-zoom.jpg,,
