shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,currency,size
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649525,Clinique,Chubby Stick Cheek Color Balm Cream Blush,AmpÃ¢ÂÂd Up Apple,https://media.ultainc.com/i/ulta/2649525_sw?img404=2649525&w=80&fmt=auto,AmpÃ¢ÂÂd Up Apple Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649526,Clinique,Chubby Stick Cheek Color Balm Cream Blush,Grandest Guava,https://media.ultainc.com/i/ulta/2649526_sw?img404=2649526&w=80&fmt=auto,Grandest Guava Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649527,Clinique,Chubby Stick Cheek Color Balm Cream Blush,Plenty OÃ¢ÂÂ Papaya,https://media.ultainc.com/i/ulta/2649527_sw?img404=2649527&w=80&fmt=auto,Plenty OÃ¢ÂÂ Papaya Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649684,Clinique,Chubby Stick Cheek Color Balm Cream Blush,Plumped Up Peony,https://media.ultainc.com/i/ulta/2649684_sw?img404=2649684&w=80&fmt=auto,Plumped Up Peony Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649528,Clinique,Chubby Stick Cheek Color Balm Cream Blush,PoppinÃ¢ÂÂ Pink,https://media.ultainc.com/i/ulta/2649528_sw?img404=2649528&w=80&fmt=auto,PoppinÃ¢ÂÂ Pink Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649529,Clinique,Chubby Stick Cheek Color Balm Cream Blush,RampÃ¢ÂÂd Up Rouge,https://media.ultainc.com/i/ulta/2649529_sw?img404=2649529&w=80&fmt=auto,RampÃ¢ÂÂd Up Rouge Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649683,Clinique,Chubby Stick Cheek Color Balm Cream Blush,Roly Poly Rosy,https://media.ultainc.com/i/ulta/2649683_sw?img404=2649683&w=80&fmt=auto,Roly Poly Rosy Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/chubby-stick-cheek-color-balm-cream-blush-pimprod2056735?sku=2649530,Clinique,Chubby Stick Cheek Color Balm Cream Blush,Very Violet,https://media.ultainc.com/i/ulta/2649530_sw?img404=2649530&w=80&fmt=auto,Very Violet Chubby Stick Cheek Color Balm Cream Blush,,32.0,USD,0.21 oz
https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141?sku=2595631,Benefit Cosmetics,WANDERful World Silky-Soft Powder Blush Mini,Crystah,https://media.ultainc.com/i/ulta/2595631_sw?img404=2595631&w=80&fmt=auto,Crystah WANDERful World Silky-Soft Powder Blush Mini,strawberry pink,18.0,USD,0.08 oz
https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141?sku=2595701,Benefit Cosmetics,WANDERful World Silky-Soft Powder Blush Mini,Dandelion,https://media.ultainc.com/i/ulta/2595701_sw?img404=2595701&w=80&fmt=auto,Dandelion WANDERful World Silky-Soft Powder Blush Mini,baby-pink,18.0,USD,0.08 oz
